No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
14,Andy Dalton\DaltAn00,31,QB,11,11,5-6-0,226,365,61.9,2566,21,5.8,11,3.0,49,7.0,6.8,11.4,233.3,89.6,64.6,21,157,6.24,6.05,5.4,3,4
6,Jeff Driskel\DrisJe00,25,qb,9,5,1-4-0,105,176,59.7,1003,6,3.4,2,1.1,37,5.7,5.9,9.6,111.4,82.2,33.3,16,122,4.59,4.74,8.3,,
83,Tyler Boyd\BoydTy00,24,WR,14,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.0,0,0,0.00,0.00,0.0,,
,Team Total,25.7,,16,,6-10-0,331,542,61.1,3569,27,5.0,13,2.4,49,6.6,6.5,10.8,223.1,87.0,,37,279,5.68,5.60,6.4,3,4
,Opp Total,,,16,,,389,584,66.6,4587,32,5.5,12,2.1,,7.9,8.03,11.8,286.7,100.0,,34,173,7.1,7.3,5.5,
