No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
12,Tom Brady*\BradTo00,41,QB,16,16,11-5-0,375,570,65.8,4355,29,5.1,11,1.9,63,7.6,7.8,11.6,272.2,97.7,68.8,21,147,7.12,7.26,3.6,1,2
11,Julian Edelman\EdelJu00,32,WR,12,12,,2,2,100.0,43,0,0.0,0,0.0,37,21.5,21.5,21.5,3.6,118.7,94.8,0,0,21.50,21.50,0.0,,
2,Brian Hoyer\HoyeBr00,33,,5,0,,1,2,50.0,7,0,0.0,0,0.0,7,3.5,3.5,7.0,1.4,58.3,0.4,0,0,3.50,3.50,0.0,,
,Team Total,27.2,,16,,11-5-0,378,574,65.9,4405,29,5.1,11,1.9,63,7.7,7.8,11.7,275.3,97.8,,21,147,7.16,7.30,3.5,1,2
,Opp Total,,,16,,,370,605,61.2,4181,29,4.8,18,3.0,,6.9,6.53,11.3,261.3,85.4,,30,238,6.2,5.8,4.7,
