No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
11,Carson Wentz\WentCa00,26,QB,11,11,5-6-0,279,401,69.6,3074,21,5.2,7,1.7,58,7.7,7.9,11.0,279.5,102.2,64.9,31,202,6.65,6.89,7.2,2,2
9,Nick Foles\FoleNi00,29,qb,5,5,4-1-0,141,195,72.3,1413,7,3.6,4,2.1,83,7.2,7.0,10.0,282.6,96.0,69.5,9,47,6.70,6.50,4.4,2,2
7,Nate Sudfeld\SudfNa00,25,,2,0,,1,2,50.0,22,1,50.0,0,0.0,22,11.0,21.0,22.0,11.0,129.2,32.2,0,0,11.00,21.00,0.0,0,0
13,Nelson Agholor\AghoNe00,25,WR,16,16,,1,1,100.0,15,0,0.0,0,0.0,15,15.0,15.0,15.0,0.9,118.7,100.0,0,0,15.00,15.00,0.0,,
,Team Total,26.4,,16,,9-7-0,422,599,70.5,4524,29,4.8,11,1.8,83,7.6,7.7,10.7,282.8,100.7,,40,249,6.69,6.82,6.3,4,4
,Opp Total,,,16,,,417,626,66.6,4619,22,3.5,10,1.6,,7.4,7.36,11.1,288.7,93.4,,44,311,6.4,6.4,6.6,
