No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
9,Matthew Stafford\StafMa00,30,QB,16,16,6-10-0,367,555,66.1,3777,21,3.8,11,2.0,67,6.8,6.7,10.3,236.1,89.9,50.9,40,255,5.92,5.79,6.7,0,1
8,Matt Cassel\CassMa00,36,,2,0,,7,17,41.2,59,0,0.0,1,5.9,11,3.5,0.8,8.4,29.5,26.3,9.7,1,13,2.56,0.06,5.6,,
12,Bruce Ellington\ElliBr00,27,wr,4,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
5,Matt Prater\PratMa20,34,K,16,0,,1,1,100.0,8,1,100.0,0,0.0,8,8.0,28.0,8.0,0.5,139.6,,0,0,8.00,28.00,0.0,,
,Team Total,26.7,,16,,6-10-0,375,574,65.3,3844,22,3.8,12,2.1,67,6.7,6.5,10.3,240.3,88.5,,41,268,5.81,5.65,6.7,0,1
,Opp Total,,,16,,,323,496,65.1,3897,29,5.8,7,1.4,,7.9,8.39,12.1,243.6,102.7,,43,298,6.7,7.2,8.0,
