No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
3,Jameis Winston\WinsJa00,24,QB,11,9,3-6-0,244,378,64.6,2992,19,5.0,14,3.7,64,7.9,7.3,12.3,272.0,90.2,71.8,27,157,7.00,6.38,6.7,0,1
14,Ryan Fitzpatrick\FitzRy00,36,qb,8,7,2-5-0,164,246,66.7,2366,17,6.9,12,4.9,75,9.6,8.8,14.4,295.8,100.4,64.4,14,76,8.81,8.04,5.4,,
9,Bryan Anger\AngeBr00,30,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
,Team Total,25.9,,16,,5-11-0,408,625,65.3,5358,36,5.8,26,4.2,75,8.6,7.9,13.1,334.9,94.1,,41,233,7.70,7.02,6.2,0,1
,Opp Total,,,16,,,387,534,72.5,4383,34,6.4,9,1.7,,8.2,8.72,11.3,273.9,110.9,,38,232,7.3,7.7,6.6,
