No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
16,Jared Goff*\GoffJa00,24,QB,16,16,13-3-0,364,561,64.9,4688,32,5.7,12,2.1,70,8.4,8.5,12.9,293.0,101.1,65.4,33,223,7.52,7.69,5.6,4,4
6,Johnny Hekker\HekkJo00,28,P,16,0,,2,4,50.0,19,0,0.0,0,0.0,12,4.8,4.8,9.5,1.2,63.5,,0,0,4.75,4.75,0.0,,
14,Sean Mannion\MannSe00,26,,3,0,,2,3,66.7,23,0,0.0,0,0.0,18,7.7,7.7,11.5,7.7,89.6,7.8,0,0,7.67,7.67,0.0,,
,Team Total,26.0,,16,,13-3-0,368,568,64.8,4730,32,5.6,12,2.1,70,8.3,8.5,12.9,295.6,100.7,,33,223,7.50,7.67,5.5,4,4
,Opp Total,,,16,,,347,533,65.1,4106,31,5.8,18,3.4,,7.7,7.35,11.8,256.6,93.7,,41,326,6.6,6.3,7.1,
