No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
10,Mitchell Trubisky*\TrubMi00,24,QB,14,14,11-3-0,289,434,66.6,3223,24,5.5,12,2.8,70,7.4,7.3,11.2,230.2,95.4,72.8,24,143,6.72,6.59,5.2,1,2
4,Chase Daniel\DaniCh00,32,qb,5,2,1-1-0,53,76,69.7,515,3,3.9,2,2.6,46,6.8,6.4,9.7,103.0,90.6,28.9,9,40,5.59,5.24,10.6,1,0
29,Tarik Cohen*+\CoheTa00,23,rb/wr,16,7,,1,1,100.0,1,1,100.0,0,0.0,1,1.0,21.0,1.0,0.1,118.7,100.0,0,0,1.00,21.00,0.0,,
17,Anthony Miller\MillAn02,24,wr,15,4,,1,1,100.0,8,0,0.0,0,0.0,8,8.0,8.0,8.0,0.5,100.0,82.7,0,0,8.00,8.00,0.0,,
,Team Total,26.2,,16,,12-4-0,344,512,67.2,3747,28,5.5,14,2.7,70,7.3,7.2,10.9,234.2,95.4,,33,183,6.54,6.41,6.1,2,2
,Opp Total,,,16,,,377,615,61.3,3854,22,3.6,27,4.4,,6.3,5.01,10.2,240.9,72.9,,50,339,5.3,4.1,7.5,
