No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
6,Baker Mayfield\MayfBa00,23,QB,14,13,6-7-0,310,486,63.8,3725,27,5.6,14,2.9,71,7.7,7.5,12.0,266.1,93.7,55.7,25,173,6.95,6.77,4.9,3,4
5,Tyrod Taylor\TaylTy00,29,qb,4,3,1-1-1,42,85,49.4,473,2,2.4,2,2.4,47,5.6,5.0,11.3,118.3,64.5,33.1,13,81,4.00,3.49,13.3,1,0
80,Jarvis Landry*\LandJa00,26,WR,16,14,,1,2,50.0,63,0,0.0,0,0.0,63,31.5,31.5,63.0,3.9,95.8,100.0,0,0,31.50,31.50,0.0,,
25,Dontrell Hilliard\HillDo00,23,,11,0,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.00,-45.00,0.0,,
,Team Total,25.3,,16,,7-8-1,353,574,61.5,4261,29,5.1,17,3.0,71,7.4,7.1,12.1,266.3,88.8,,38,254,6.55,6.25,6.2,4,4
,Opp Total,,,16,,,393,626,62.8,4370,21,3.4,17,2.7,,7.0,6.43,11.1,273.1,83.4,,37,245,6.2,5.7,5.6,
