No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
4,Nick Mullens\MullNi00,23,QB,8,8,3-5-0,176,274,64.2,2277,13,4.7,10,3.6,85,8.3,7.6,12.9,284.6,90.8,56.2,17,127,7.39,6.74,5.8,0,1
3,C.J. Beathard\BeatC.00,25,qb,6,5,0-5-0,102,169,60.4,1252,8,4.7,7,4.1,82,7.4,6.5,12.3,208.7,81.8,39.7,18,156,5.86,5.03,9.6,,
10,Jimmy Garoppolo\GaroJi00,27,qb,3,3,1-2-0,53,89,59.6,718,5,5.6,3,3.4,56,8.1,7.7,13.5,239.3,90.0,26.9,13,97,6.09,5.75,12.7,,
,Team Total,25.6,,16,,4-12-0,331,532,62.2,4247,26,4.9,20,3.8,85,8.0,7.3,12.8,265.4,87.8,,48,380,6.67,6.01,8.3,0,1
,Opp Total,,,16,,,344,542,63.5,3959,35,6.5,2,0.4,,7.3,8.43,11.5,247.4,105.4,,37,227,6.4,7.5,6.4,
