No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
8,Marcus Mariota\MariMa01,25,QB,14,13,7-6-0,228,331,68.9,2528,11,3.3,8,2.4,61,7.6,7.2,11.1,180.6,92.3,53.1,42,243,6.13,5.75,11.3,2,3
7,Blaine Gabbert\GabbBl00,29,qb,8,3,2-1-0,61,101,60.4,626,4,4.0,4,4.0,35,6.2,5.2,10.3,78.3,74.9,31.2,5,37,5.56,4.61,4.7,2,2
22,Derrick Henry\HenrDe00,24,RB,16,12,,2,3,66.7,14,0,0.0,0,0.0,8,4.7,4.7,7.0,0.9,77.1,61.7,0,0,4.67,4.67,0.0,,
31,Kevin Byard\ByarKe01,25,FS,16,16,,1,1,100.0,66,1,100.0,0,0.0,66,66.0,86.0,66.0,4.1,158.3,,0,0,66.00,86.00,0.0,,
15,Darius Jennings\JennDa00,26,,16,0,,1,1,100.0,21,0,0.0,0,0.0,21,21.0,21.0,21.0,1.3,118.7,99.9,0,0,21.00,21.00,0.0,,
,Team Total,26.3,,16,,9-7-0,293,437,67.0,3255,16,3.7,12,2.7,66,7.4,6.9,11.1,203.4,89.8,,47,280,6.15,5.69,9.7,4,5
,Opp Total,,,16,,,337,533,63.2,3719,21,3.9,11,2.1,,7.0,6.84,11.0,232.4,88.4,,39,248,6.1,5.9,6.8,
