No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
9,Drew Brees*\BreeDr00,39,QB,15,15,13-2-0,364,489,74.4,3992,32,6.5,5,1.0,72,8.2,9.0,11.0,266.1,115.7,81.9,17,121,7.65,8.47,3.4,6,7
5,Teddy Bridgewater\BridTe00,26,qb,5,1,0-1-0,14,23,60.9,118,1,4.3,1,4.3,18,5.1,4.0,8.4,23.6,70.6,42.2,2,8,4.40,3.40,8.0,,
7,Taysom Hill\HillTa00,28,te/wr,16,4,,3,7,42.9,64,0,0.0,1,14.3,44,9.1,2.7,21.3,4.0,36.3,43.5,1,3,7.63,2.00,12.5,,
,Team Total,26.6,,16,,13-3-0,381,519,73.4,4174,33,6.4,7,1.3,72,8.0,8.7,11.0,260.9,112.3,,20,132,7.50,8.14,3.7,6,7
,Opp Total,,,16,,,384,573,67.0,4623,30,5.2,12,2.1,,8.1,8.17,12.0,288.9,100.3,,49,321,6.9,7.0,7.9,
