No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
2,Matt Ryan\RyanMa00,33,QB,16,16,7-9-0,422,608,69.4,4924,35,5.8,7,1.2,75,8.1,8.7,11.7,307.8,108.1,70.6,42,296,7.12,7.71,6.5,1,1
8,Matt Schaub\SchaMa00,37,,3,0,,5,7,71.4,20,0,0.0,0,0.0,9,2.9,2.9,4.0,6.7,74.1,63.0,0,0,2.86,2.86,0.0,,
12,Mohamed Sanu\SanuMo00,29,WR,16,16,,1,2,50.0,5,1,50.0,0,0.0,5,2.5,12.5,5.0,0.3,95.8,34.5,0,0,2.50,12.50,0.0,,
,Team Total,27.4,,16,,7-9-0,428,617,69.4,4949,36,5.8,7,1.1,75,8.0,8.7,11.6,309.3,108.0,,42,296,7.06,7.68,6.4,1,1
,Opp Total,,,16,,,398,585,68.0,4408,33,5.6,15,2.6,,7.5,7.51,11.1,275.5,98.3,,37,255,6.7,6.7,5.9,
