No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
3,Russell Wilson*\WilsRu00,30,QB,16,16,10-6-0,280,427,65.6,3448,35,8.2,7,1.6,66,8.1,9.0,12.3,215.5,110.9,65.1,51,355,6.47,7.28,10.7,2,4
,Team Total,25.9,,16,,10-6-0,280,427,65.6,3448,35,8.2,7,1.6,66,8.1,9.0,12.3,215.5,110.9,,51,355,6.47,7.28,10.7,2,4
,Opp Total,,,16,,,355,546,65.0,4103,26,4.8,12,2.2,,7.5,7.48,11.6,256.4,94.3,,43,261,6.5,6.5,7.3,
