No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
4,Derek Carr\CarrDe02,27,QB,16,16,4-12-0,381,553,68.9,4049,19,3.4,10,1.8,66,7.3,7.2,10.6,253.1,93.9,49.3,51,299,6.21,6.09,8.4,3,3
10,A.J. McCarron\McCaA.00,28,,2,0,,1,3,33.3,8,0,0.0,0,0.0,8,2.7,2.7,8.0,4.0,42.4,,1,7,0.25,0.25,25.0,,
,Team Total,27.0,,16,,4-12-0,382,556,68.7,4057,19,3.4,10,1.8,66,7.3,7.2,10.6,253.6,93.6,,52,306,6.17,6.05,8.6,3,3
,Opp Total,,,16,,,299,480,62.3,3933,36,7.5,14,2.9,,8.2,8.38,13.2,245.8,101.0,,13,80,7.8,8.0,2.6,
