No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Cam Newton\NewtCa00,29,QB,14,14,6-8-0,320,471,67.9,3395,24,5.1,13,2.8,82,7.2,7.0,10.6,242.5,94.2,57.4,29,213,6.36,6.15,5.8,2,2
6,Taylor Heinicke\HeinTa00,25,qb,6,1,0-1-0,35,57,61.4,320,1,1.8,3,5.3,33,5.6,3.6,9.1,53.3,60.6,26.4,2,17,5.14,3.19,3.4,,
7,Kyle Allen\AlleKy00,22,qb,2,1,1-0-0,20,31,64.5,266,2,6.5,0,0.0,53,8.6,9.9,13.3,133.0,113.1,96.7,0,0,8.58,9.87,0.0,,
3,Garrett Gilbert\GilbGa01,27,,1,0,,2,3,66.7,40,0,0.0,0,0.0,31,13.3,13.3,20.0,40.0,109.7,50.0,1,5,8.75,8.75,25.0,,
22,Christian McCaffrey\McCaCh01,22,RB,16,16,,1,1,100.0,50,1,100.0,0,0.0,50,50.0,70.0,50.0,3.1,158.3,100.0,0,0,50.00,70.00,0.0,,
,Team Total,27.0,,16,,7-9-0,378,563,67.1,4071,28,5.0,16,2.8,82,7.2,6.9,10.8,254.4,92.9,,32,235,6.45,6.18,5.4,2,2
,Opp Total,,,16,,,353,529,66.7,4062,32,6.0,13,2.5,,7.7,7.78,11.5,253.9,99.6,,35,215,6.8,6.9,6.2,
