No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
4,Dak Prescott*\PresDa01,25,QB,16,16,10-6-0,356,526,67.7,3885,22,4.2,8,1.5,90,7.4,7.5,10.9,242.8,96.9,58.6,56,347,6.08,6.22,9.6,3,5
11,Cole Beasley\BeasCo00,29,wr,16,4,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,29.6,0,0,0.00,0.00,0.0,,
,Team Total,25.7,,16,,10-6-0,356,527,67.6,3885,22,4.2,8,1.5,90,7.4,7.5,10.9,242.8,96.7,,56,347,6.07,6.21,9.6,3,5
,Opp Total,,,16,,,367,542,67.7,3984,22,4.1,9,1.7,,7.4,7.42,10.9,249.0,95.7,,39,229,6.5,6.5,6.7,
