No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
17,Philip Rivers*\RivePh00,37,QB,16,16,12-4-0,347,508,68.3,4308,32,6.3,12,2.4,75,8.5,8.7,12.4,269.3,105.5,71.2,32,204,7.60,7.79,5.9,3,3
3,Geno Smith\SmitGe00,28,,5,0,,1,4,25.0,8,0,0.0,0,0.0,8,2.0,2.0,8.0,1.6,39.6,0.8,1,16,-1.60,-1.60,20.0,,
13,Keenan Allen*\AlleKe00,26,WR,16,14,,0,0,,0,0,,0,,0,,,,0.0,,0.0,1,7,-7.00,-7.00,100.0,,
,Team Total,26.2,,16,,12-4-0,348,512,68.0,4316,32,6.3,12,2.3,75,8.4,8.6,12.4,269.8,104.9,,34,227,7.49,7.67,6.2,3,3
,Opp Total,,,16,,,351,548,64.1,3886,23,4.2,13,2.4,,7.1,6.86,11.1,242.9,89.1,,38,240,6.2,6.0,6.5,
