No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
12,Andrew Luck\LuckAn00,29,QB,16,16,10-6-0,430,639,67.3,4593,39,6.1,15,2.3,68,7.2,7.4,10.7,287.1,98.7,71.5,18,134,6.79,6.95,2.7,3,3
7,Jacoby Brissett\BrisJa00,25,,4,0,,2,4,50.0,2,0,0.0,0,0.0,4,0.5,0.5,1.0,0.5,56.2,100.0,0,0,0.50,0.50,0.0,,
85,Eric Ebron*\EbroEr00,25,te/wr,16,8,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
,Team Total,25.9,,16,,10-6-0,432,644,67.1,4595,39,6.1,15,2.3,68,7.1,7.3,10.6,287.2,98.2,,18,134,6.74,6.90,2.7,3,3
,Opp Total,,,16,,,384,542,70.8,4033,21,3.9,15,2.8,,7.4,6.97,10.5,252.1,93.5,,38,228,6.6,6.1,6.6,,
