No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
7,Ben Roethlisberger\RoetBe00,36,QB,16,16,9-6-1,452,675,67.0,5129,34,5.0,16,2.4,97,7.6,7.5,11.3,320.6,96.5,73.0,24,166,7.10,7.04,3.4,2,3
5,Joshua Dobbs\DobbJo00,23,,5,0,,6,12,50.0,43,0,0.0,1,8.3,22,3.6,-0.2,7.2,8.6,24.0,60.4,0,0,3.58,-0.17,0.0,,
9,Chris Boswell\BoswCh00,27,K,15,0,,1,1,100.0,2,1,100.0,0,0.0,2,2.0,22.0,2.0,0.1,118.7,,0,0,2.00,22.00,0.0,,
84,Antonio Brown*\BrowAn04,30,WR,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.1,0,0,0.00,0.00,0.0,,
,Team Total,26.2,,16,,9-6-1,459,689,66.6,5174,35,5.1,17,2.5,97,7.5,7.4,11.3,323.4,95.5,,24,166,7.02,6.93,3.4,2,3
,Opp Total,,,16,,,362,566,64.0,4044,27,4.8,8,1.4,,7.1,7.46,11.2,252.8,95.2,,52,347,6.0,6.3,8.4,
