No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
5,Blake Bortles\BortBl00,26,QB,13,12,3-9-0,243,403,60.3,2718,13,3.2,11,2.7,80,6.7,6.2,11.2,209.1,79.8,44.1,31,173,5.86,5.32,7.1,0,1
6,Cody Kessler\KessCo00,25,qb,5,4,2-2-0,85,131,64.9,709,2,1.5,2,1.5,35,5.4,5.0,8.3,141.8,77.4,28.3,22,149,3.66,3.33,14.4,,
9,Logan Cooke\CookLo00,23,P,16,0,,1,1,100.0,4,0,0.0,0,0.0,4,4.0,4.0,4.0,0.3,83.3,,0,0,4.00,4.00,0.0,,
12,Dede Westbrook\WestDe00,25,WR,16,9,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,11.1,0,0,0.00,0.00,0.0,,
,Team Total,25.8,,16,,5-11-0,329,536,61.4,3431,15,2.8,13,2.4,80,6.4,5.9,10.4,214.4,79.1,,53,322,5.28,4.79,9.0,0,1
,Opp Total,,,16,,,312,499,62.5,3354,17,3.4,11,2.2,,6.7,6.41,10.8,209.6,84.4,,37,241,5.8,5.5,6.9,
