No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
15,Patrick Mahomes*+\MahoPa00,23,QB,16,16,12-4-0,383,580,66.0,5097,50,8.6,12,2.1,89,8.8,9.6,13.3,318.6,113.8,82.0,26,171,8.13,8.89,4.3,2,2
4,Chad Henne\HennCh01,33,,1,0,,2,3,66.7,29,0,0.0,0,0.0,22,9.7,9.7,14.5,29.0,97.9,82.2,0,0,9.67,9.67,0.0,,
,Team Total,26.1,,16,,12-4-0,385,583,66.0,5126,50,8.6,12,2.1,89,8.8,9.6,13.3,320.4,113.8,,26,171,8.14,8.89,4.3,2,2
,Opp Total,,,16,,,406,632,64.2,4721,30,4.7,15,2.4,,7.5,7.35,11.6,295.1,92.7,,52,347,6.4,6.3,7.6,
