No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
17,Ryan Tannehill\TannRy00,30,QB,11,11,5-6-0,176,274,64.2,1979,17,6.2,9,3.3,75,7.2,7.0,11.2,179.9,92.7,33.1,35,279,5.50,5.29,11.3,3,3
8,Brock Osweiler\OsweBr00,28,qb,7,5,2-3-0,113,178,63.5,1247,6,3.4,4,2.2,75,7.0,6.7,11.0,178.1,86.0,34.5,17,130,5.73,5.42,8.7,1,1
80,Danny Amendola\AmenDa00,33,WR,15,15,,1,1,100.0,28,1,100.0,0,0.0,28,28.0,48.0,28.0,1.9,158.3,100.0,0,0,28.00,48.00,0.0,,
10,Kenny Stills\StilKe00,26,WR,15,15,,1,1,100.0,3,1,100.0,0,0.0,3,3.0,23.0,3.0,0.2,118.7,100.0,0,0,3.00,23.00,0.0,,
15,Albert Wilson\WilsAl02,26,wr,7,3,,1,1,100.0,52,1,100.0,0,0.0,52,52.0,72.0,52.0,7.4,158.3,99.7,0,0,52.00,72.00,0.0,,
,Team Total,26.6,,16,,7-9-0,292,455,64.2,3309,26,5.7,13,2.9,75,7.3,7.1,11.3,206.8,93.0,,52,409,5.72,5.59,10.3,4,4
,Opp Total,,,16,,,335,508,65.9,4141,31,6.1,21,4.1,,8.2,7.51,12.4,258.8,94.1,,31,209,7.3,6.7,5.8,
