No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
3,Josh Rosen\RoseJo01,21,QB,14,13,3-10-0,217,393,55.2,2278,11,2.8,14,3.6,75,5.8,4.8,10.5,162.7,66.7,26.6,45,320,4.47,3.53,10.3,1,2
9,Sam Bradford\BradSa00,31,qb,3,3,0-3-0,50,80,62.5,400,2,2.5,4,5.0,35,5.0,3.3,8.0,133.3,62.5,25.8,6,33,4.27,2.64,7.0,,
7,Mike Glennon\GlenMi00,29,,2,0,,15,21,71.4,174,1,4.8,0,0.0,26,8.3,9.2,11.6,87.0,112.0,79.3,1,8,7.55,8.45,4.5,,
11,Larry Fitzgerald\FitzLa00,35,WR,16,16,,1,1,100.0,32,1,100.0,0,0.0,32,32.0,52.0,32.0,2.0,158.3,100.0,0,0,32.00,52.00,0.0,,
,Team Total,26.4,,16,,3-13-0,283,495,57.2,2884,15,3.0,18,3.6,75,5.8,4.8,10.2,180.3,69.0,,52,361,4.61,3.68,9.5,1,2
,Opp Total,,,16,,,342,506,67.6,3595,21,4.2,7,1.4,,7.1,7.31,10.5,224.7,96.1,,49,333,5.9,6.1,8.8,
