No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
12,Aaron Rodgers*\RodgAa00,35,QB,16,16,6-9-1,372,597,62.3,4442,25,4.2,2,0.3,75,7.4,8.1,11.9,277.6,97.6,56.8,49,353,6.33,6.96,7.6,3,3
9,DeShone Kizer\KizeDe00,22,,3,0,,20,42,47.6,187,0,0.0,2,4.8,29,4.5,2.3,9.4,62.3,40.5,27.1,4,38,3.24,1.28,8.7,,
6,JK Scott\ScotJK00,22,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
,Team Total,25.8,,16,,6-9-1,392,640,61.3,4629,25,3.9,4,0.6,75,7.2,7.7,11.8,289.3,93.7,,53,391,6.12,6.58,7.6,3,3
,Opp Total,,,16,,,336,527,63.8,4074,30,5.7,7,1.3,,7.7,8.27,12.1,254.6,100.9,,44,322,6.6,7.1,7.7,
