No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
5,Joe Flacco\FlacJo00,33,QB,9,9,4-5-0,232,379,61.2,2465,12,3.2,6,1.6,71,6.5,6.4,10.6,273.9,84.2,58.7,16,79,6.04,5.96,4.1,,
8,Lamar Jackson\JackLa00,21,qb,16,7,6-1-0,99,170,58.2,1201,6,3.5,3,1.8,74,7.1,7.0,12.1,75.1,84.5,48.7,16,71,6.08,5.99,8.6,0,1
3,Robert Griffin\GrifRo01,28,,3,0,,2,6,33.3,21,0,0.0,0,0.0,14,3.5,3.5,10.5,7.0,44.4,2.3,0,0,3.50,3.50,0.0,,
4,Sam Koch\KochSa20,36,P,16,0,,1,1,100.0,21,0,0.0,0,0.0,21,21.0,21.0,21.0,1.3,118.7,12.9,0,0,21.00,21.00,0.0,,
,Team Total,26.3,,16,,10-6-0,334,556,60.1,3708,18,3.2,9,1.6,74,6.7,6.6,11.1,231.8,84.0,,32,150,6.05,5.97,5.4,0,1
,Opp Total,,,16,,,337,577,58.4,3651,21,3.6,12,2.1,,6.3,6.12,10.8,228.2,80.6,,43,291,5.4,5.2,6.9,
