No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
14,Sam Darnold\DarnSa00,21,QB,13,13,4-9-0,239,414,57.7,2865,17,4.1,15,3.6,76,6.9,6.1,12.0,220.4,77.6,47.9,30,204,5.99,5.24,6.8,1,1
15,Josh McCown\McCoJo01,39,qb,4,3,0-3-0,60,110,54.5,539,1,0.9,4,3.6,41,4.9,3.4,9.0,134.8,55.8,31.4,7,35,4.31,2.94,6.0,,
,Team Total,26.1,,16,,4-12-0,299,524,57.1,3404,18,3.4,19,3.6,76,6.5,5.6,11.4,212.8,73.0,,37,239,5.64,4.76,6.6,1,1
,Opp Total,,,16,,,367,582,63.1,4358,29,5.0,13,2.2,,7.5,7.48,11.9,272.4,93.1,,39,293,6.5,6.5,6.3,
