No.,Player,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
4,Deshaun Watson*\WatsDe00,23,QB,16,16,11-5-0,345,505,68.3,4165,26,5.1,9,1.8,73,8.2,8.5,12.1,260.3,103.1,63.0,62,384,6.67,6.87,10.9,5,5
10,DeAndre Hopkins*+\HopkDe00,26,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.2,0,0,0.00,0.00,0.0,,
,Team Total,25.7,,16,,11-5-0,345,506,68.2,4165,26,5.1,9,1.8,73,8.2,8.5,12.1,260.3,102.9,,62,384,6.66,6.86,10.9,5,5
,Opp Total,,,16,,,385,594,64.8,4477,28,4.7,15,2.5,,7.5,7.34,11.6,279.8,92.7,,43,310,6.5,6.4,6.8,
